 ,Unnamed: 23
Доставлено,0.0
Открытия,0.0
OR,0.0
Кликов,0.0
CR,0.0
CTR,0.0
Отписок,0.0
UR,0.0
Доход по атрибуции MB,0.0
Покупок по атрибуции MB,0.0
Средний чек по атрибуции,0.0
Конверсия в заказы,0.0
,
DOI Интерактивный тест Спасибо,
Доставлено,0.0
Открытия,0.0
OR,0.0
Кликов,0.0
CR,0.0
CTR,0.0
Отписок,0.0
UR,0.0
Доход по атрибуции MB,0.0
Покупок по атрибуции MB,0.0
Средний чек по атрибуции,0.0
Конверсия в заказы,0.0
,
"Пожалуйста, подтвердите подписку (Facebook Leads)",
Доставлено,0.0
Открытия,0.0
OR,0.0
Кликов,0.0
CR,0.0
CTR,0.0
Отписок,0.0
UR,0.0
Доход по атрибуции MB,0.0
Покупок по атрибуции MB,0.0
Средний чек по атрибуции,0.0
Конверсия в заказы,0.0
,
Ваш промокод уже здесь! (Facebook Leads),
Доставлено,1.0
Открытия,1.0
OR,1.0
Кликов,0.0
CR,0.0
CTR,0.0
Отписок,0.0
UR,0.0
Доход по атрибуции MB,0.0
Покупок по атрибуции MB,0.0
Средний чек по атрибуции,0.0
Конверсия в заказы,0.0
,
Брошенная корзина с оффером,
Ссылка на визуал,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=8430738510121533440&hash=73C65FD1637E497507234D5ABBA4FEFCBB8C5793&format=Html
Условия отправки,Дарим скидку на заказ из вашей корзины!
Доставлено,321
Открытия,163
OR,0.5077881619937694
Кликов,60
CR,0.18691588785046728
CTR,0.36809815950920244
Отписок,0
UR,0.0
Доход по атрибуции MB,140464
Покупок по атрибуции MB,24
Средний чек по атрибуции,5852.690833333334
Конверсия в заказы,0.07476635514018691
,
Онлайн дешевле,
Ссылка на визуал,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=6773413846477438976&hash=6262B77BB9675EFDC2E9432FA83D6DE45F48B4D8&format=Html
Условия отправки,"@{ if IsEmpty(Recipient.OnlyStandardFirstName) }Покупайте дешевле, чем в магазине!😎@{ else } ${ Recipient.OnlyStandardFirstName }, покупайте дешевле, чем в магазине!😎@{end if}"
Доставлено,402
Открытия,106
OR,0.263681592039801
Кликов,17
CR,0.04228855721393035
CTR,0.16037735849056603
Отписок,1
UR,0.0024875621890547263
Доход по атрибуции MB,21492
Покупок по атрибуции MB,9
Средний чек по атрибуции,2388.0
Конверсия в заказы,0.022388059701492536
,
Письмо с промокодом Babyblog (для новых),
Ссылка на визуал,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-5404319549455597568&hash=8A467AE6E853DC66DF0BD8079FEB8B63A2F9A848&format=Html
Условия отправки,Ваш промокод уже здесь!
Доставлено,8
Открытия,5
OR,0.625
Кликов,1
CR,0.125
CTR,0.2
Отписок,0
UR,0.0
Доход по атрибуции MB,0
Покупок по атрибуции MB,0
Средний чек по атрибуции,0.0
Конверсия в заказы,0.0
,
DOI BabyBlog,
Ссылка на визуал,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-1945555038856282112&hash=79CA38781D28B5C024C2CF1F014AE455456AF126&format=Html
Условия отправки,"Пожалуйста, подтвердите email"
Доставлено,18
Открытия,9
OR,0.5
Кликов,8
CR,0.4444444444444444
CTR,0.8888888888888888
Отписок,0
UR,0.0
Доход по атрибуции MB,0
Покупок по атрибуции MB,0
Средний чек по атрибуции,0.0
Конверсия в заказы,0.0
,
Персональный промокод на скидку — в письме! 🤤,
Ссылка на визуал,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=2522015795521781760&hash=C6035C8F2847778F6E1193AE67A47A2EEE06C584&format=Html
Условия отправки,Персональный промокод на скидку — в письме! 🤤
Доставлено,112
Открытия,37
OR,0.33035714285714285
Кликов,2
CR,0.017857142857142856
CTR,0.05405405405405406
Отписок,0
UR,0.0
Доход по атрибуции MB,0
Покупок по атрибуции MB,0
Средний чек по атрибуции,0.0
Конверсия в заказы,0.0
,
Для вас сюрприз! Откройте письмо 😉,
Ссылка на визуал,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-8718968877683310592&hash=35491D37623028A151AC4EB155B30513DEA1C282&format=Html
