ИД клиента;CustomerID
885439;149061
887599;182940
888343;165457
889111;185904
889474;169743
889811;176783
889856;187603
890335;175519
890614;177808
891445;189230
892004;211041
892018;206000
892077;193673
893138;191663
895803;221773
897543;220616
899416;204057
900644;230618
900947;234057
902488;224878
905931;237818
906037;232471
910375;280821
912880;333365
913184;333855
915863;342038
916734;338659
917913;348661
917915;353516
918245;353135
922366;356758
927090;366590
928246;372240
930467;374180
931874;387066
932008;386804
932553;383857
933592;385415
934214;382621
935011;388759
937432;393007
940328;406837
941201;400245
942054;411664
942847;412243
943037;409033
943151;412326
943855;408277
945333;418643
945403;418162
948813;428394
949201;424797
949807;428433
950138;433739
950518;432494
951649;433909
956009;444286
956481;445493
957576;453448
960999;458231
961133;456005
963914;466315
965873;471761
967003;473839
967649;479645
969790;478403
973538;494324
973859;494379
975760;498406
975936;500713
977890;505865
978472;503920
979202;505722
982132;516839
983254;521247
988960;533927
989030;537383
989203;536678
989763;535408
991686;545302
992759;543951
993282;551260
994480;554479
996920;561485
999728;560277
1005118;582986
1005731;582196
1005958;588172
1008300;593050
1008723;594741
1009539;596591
1010042;596635
1010772;597549
1012664;607688
1013031;609628
1013227;609144
1014502;614517
1015440;618521
1017664;614628
1018906;631522
1020488;634671
1020711;637941
1021413;629289
1022511;632770
1023416;636827
1026901;648810
1029143;339716
1037316;402623
1039839;431504
1050132;535641
1050174;275184
1050293;493730
1059698;235162
1062648;200810
1073540;237065
1074298;163950
1082077;198096
1096974;625595
1108713;590716
1116090;557609
1117604;498616
1129034;279657
1131352;464925
1136520;481757
1137202;250806
1139619;284827
1143690;396045
1146852;375754
1153915;150426
1155896;237379
1163855;505268
1166486;415347
1167034;370330
1181233;375925
1186032;571049
1195742;327374
1206592;259896
1206637;512732
1207232;181072
1210566;233384
1216824;533317
1216949;219899
1220172;461603
1220908;253043
1221985;255772
1222373;254700
1222709;260767
1224064;263171
1224950;264643
1225157;273954
1225721;277998
1225723;269578
1228413;276943
1228456;271622
1229386;279937
1229698;270821
1233433;290159
1235334;298998
1235428;298522
1235534;288947
1236127;299665
1236180;285673
1236647;289930
1237279;298470
1237808;300566
1240699;308494
1242392;313368
1245255;320029
1246865;326340
1247550;325883
1249256;355312
1249823;328304
1254888;634125
1266562;176695
1268614;159618
1273061;256681
1291984;157744
1292126;358467
1292214;634683
1292598;584137
1292608;522826
1292690;459014
1292707;157839
1292765;298790
1292971;404683
1293027;602254
1293321;382627
1293349;605205
1293662;489204
1294083;205710
1294283;370653
1294288;370188
1294448;194302
1294574;614814
1294946;372154
1295031;332946
1295051;416323
1295526;499475
1295551;252572
1295612;471664
1295665;524891
1295754;397119
1296019;412779
1296021;293209
1296158;159415
1296433;617689
1296651;424814
1297165;219415
1297276;202519
1297846;416656
1297848;478919
1298119;594561
1298230;424413
1298466;308365
1298763;528536
