ИД клиента;CustomerID
1522622;763287
1524127;763827
1525175;764342
1525619;764555
1530704;274046
1531244;767402
1533248;570448
1537704;770696
1539313;771464
1540039;771862
1543859;773409
1544943;773851
1546991;774807
1550594;776290
1554065;778085
1554860;778629
1555745;779125
1558450;780341
1559113;780630
1560746;624267
1561458;781462
1562227;749374
1562577;759807
1563438;564857
1564877;782689
1564907;738088
1565003;782729
1565787;233461
1567130;720062
1568864;633471
1571429;729109
1572971;227873
1573509;748359
1574486;
1574636;
1575336;192460
1576433;786203
1577068;786452
1577314;657182
1577364;738701
1578535;342613
1579368;596064
1579647;640117
1579761;
1581644;
1581915;260661
1582217;295756
1582599;271384
1582858;355539
1584910;493240
1586334;733547
1588475;273311
1589879;776407
1590576;790776
1592415;419543
1594890;232950
1596284;295258
1596328;196724
1596558;793002
1596799;412868
1597411;380076
1598758;400590
1598787;707526
1599382;746604
1599517;239593
1599781;380916
1600193;794284
1600980;794555
1601016;593161
1601338;330407
1601664;733316
1601709;220093
1602397;579677
1602693;
1602847;282466
1603025;580628
1604200;795438
1606056;759880
1606265;717273
1606536;795897
1607302;196658
1607611;796063
1607833;472140
1607889;258305
1609341;796543
1609602;
1609651;471510
1610163;783313
1610639;351639
1611602;508539
1612200;391389
1612959;259805
1613401;797691
1613436;675132
1613609;575753
1615419;798370
1615679;798442
1616488;160271
1616580;152278
1616864;598135
1618464;648658
1619430;637469
1619535;799481
1620379;301574
1620464;230875
1620518;233066
1621099;799805
1622341;155117
1622568;703056
1622683;685807
1622882;373987
1624152;800390
1626210;595881
1630822;227015
1634263;
1636170;172353
1636723;
1638642;
1638747;803202
1639384;
1640187;389221
1640369;339947
1640406;803653
1641622;792958
1643583;163633
1644919;422882
1645186;288966
1646055;
1646075;395603
1646842;148795
1647646;
1648467;701631
1648546;
1650131;355626
1651915;547291
1652049;806020
1652811;806234
1654240;669508
1656302;806904
1657652;194715
1658065;334601
1658296;540078
1658623;
1659577;299366
1661408;339180
1662181;807982
1662647;290940
1663273;808343
1665409;808857
1666285;671153
1669035;809985
1669729;334224
1670699;
1671419;810662
1671850;810767
1675669;273832
1675969;769941
1676146;781335
1676547;812544
1677003;812748
1677540;813012
1679190;813546
1679346;813588
1679800;813713
1680038;813778
1682453;814249
1682937;172825
1686521;815699
1686610;151308
1688233;816349
1688980;758134
1689473;816836
1690026;
1691977;817749
1692851;818046
1694259;
1695116;818424
1700517;820349
1701626;820724
1709914;712899
1709974;824542
1710550;824823
1713828;826196
1714913;820598
1715069;323243
1716175;826640
1719271;607263
1720182;828309
1720361;828397
1721870;829151
1723871;432081
1726663;831041
1727495;831406
1729924;832729
1730918;491434
1734064;835010
1734423;835176
1736118;835953
1736565;788123
1737966;836951
1738751;837441
1740594;838394
1742009;839259
1742425;839539
1742985;839818
1743364;840002
1748100;842299
1748904;842662
1749431;842934
1749556;842994
1749595;843017
1749883;843176
1749999;843249
1750085;843299
1750237;843364
1750260;843391
1750671;843585
1751642;844000
1751731;844040
1752005;826292
1752337;844367
1752491;844462
1752553;844505
1753695;845028
1754510;845471
1755728;845954
1757157;846310
1757388;846667
1757638;846782
1757848;846884
1758068;846966
1758625;847260
1758674;847289
1758879;589408
1758885;847388
1759817;847740
1760118;847853
1760763;481432
1760805;848177
1760956;848271
1761128;848359
1761195;848400
1761409;848482
1761570;848553
1761720;848616
1762070;848806
1762441;849004
1762640;849123
1762944;849274
1763007;849303
1763272;463409
1763412;849496
1763442;849508
1763739;849634
1764320;849862
1764714;850050
1764859;850137
1764889;850157
1765224;687349
1765490;850468
1765885;850612
1766609;851001
1766619;851006
1766650;851030
1766886;851167
1766942;851206
1767270;851419
1767352;851453
1767424;851508
1767670;851637
1768069;851833
1768192;851889
1768205;851895
1768492;852031
1768833;852220
1769162;852381
1769306;852474
1769549;852625
1769646;852681
1769687;852700
1769742;852727
1769892;852759
1770735;853024
1771219;853241
1771542;817242
1771799;853533
1771948;853625
1772370;853841
1772788;854035
1773546;613716
1774285;854578
1774813;854769
1775195;854918
1775242;854940
1776107;855184
1776703;855463
1776709;855466
1776742;855484
1776775;855500
1776959;855579
1777380;855748
1777484;855793
1777945;855974
1778127;856049
1779118;
1779173;856404
1779416;856480
1779592;345564
1794478;862115
1794660;340399
1803932;180031
